description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
"BALL BEARING Qty 2288.,-TAPPER ROLLER BEARING Qty 3120.-NEEDLE ROLLER BEARING Qty 3120.-CYLINDER ROLLER BEARING Qty. 1040.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,9568.000,0.00,3011004781,BEARING,
Essential oil : Orange,33011200,E1,1,256.000,0.00,0311030902,ESSENTIAL OIL,
Fruit Juice (Qty. 54060.10 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty  36040.07 Kgs) (HS Code 3502),20098990,E1,1,54060.110,0.00,0311031011,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 6780 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 4520 Kgs) (HS Code 3502),20098990,E1,1,6780.000,0.00,0311031011,"FRUIT JUICE - E1, WPC - E1",
Packing Material :- PP (136206.49) / Wooden Pallet (4789*25) 120922.25,39021000,A3627,1,257128.740,0.00,5211007327,PP,
FRUIT - JUICE ORANGE HS CODE 2009),20091100,E1,1,12118.130,0.00,0311031106,FRUIT JUICE - E1,
Essential oils :- Orange (HS CODE 3302),33011200,E1,1,403.940,0.00,0311031106,ESSENTIAL OIL,
Packing Material :- PP 104250.68 / Wooden Pallets (3296*25) 83224.00,39021000,A3627,1,187474.680,0.00,5211007389,PP,
Dietary Fibre (HSN Code-0802),23023000,E5,1,155.270,0.00,0311031416,DIETARY FIBRE,
Fruit Juice (Qty 81341.55 Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty  54227.70 Kgs)(HS Code 3502),20098990,E1,1,81341.550,0.00,0311031471,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 95366.95 Kgs) (HS Code 2009) or milk & Milk Products / Milk Solids (Qty 63577.97 Kgs) (HS Code 3502),20098990,E1,1,95366.950,0.00,0311031455,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 70530.67 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 47020.45 Kgs) (HS Code 3502),20098990,E1,1,70530.670,0.00,0311031473,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 113363.17 Kgs) (HS Code 2009) or Milk & Milk  Products / Milks Solids (Qty 75575.45 Kgs ) (HS Code 3502),20098990,E1,1,113363.170,0.00,0311031454,"FRUIT JUICE - E1, WPC - E1",
"Natural Flavours like Citric Acid, Tartaric Acid, Black Pepper (HSN 0904), Cardamom (HSN 0908), Asafoetida (HSN 1301), Cloves (HSN 0907), Nutmeg (HSN 0908), Tomato Powder (HSN 0712), Cheese (HSN 0406)",09041130,E132,1,7000.610,0.00,5211007496,"CHEESE, FOOD FLAVOUR - E132",
Food Flavour / Flavouring Agent / Flavour Improvers - Fruit Flavours,08029900,E5,1,4143.700,0.00,0311031431,"FOOD FLAVOUR - E5, JUICE - E5",
Packing Material: PP/ Aluminium foil (HSN 76071190),39021000,E132,1,24218.400,0.00,5211007496,"ALUMINIUM FOIL, PP",
Fruit Juice (Qty 8604.42 Kgs) (HS Code 2009) or milk & Milk Products / Milk Solids (Qty 5736.28 Kgs) (HS Code 3502),20098990,E1,1,8604.420,0.00,0311031455,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 1989 Kgs) (HS Code 2009) or Milk & Milk Products / Milks Solids (Qty 1326 Kgs ) (HS Code 3502),20098990,E1,1,1989.000,0.00,0311031454,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 6651.90 Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty 4434.60 Kgs)(HS Code 3502),20098990,E1,1,6651.900,0.00,0311031471,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 28390.82 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 18927.22 Kgs) (HS Code 3502),20098990,E1,1,28390.820,0.00,0311031473,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 576 Kgs) (HS Code 2009) or Milk & Milk Products / Milks Solids (Qty 384 Kgs ) (HS Code 3502),20098990,E1,1,576.000,0.00,0311031454,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 7808.18 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 5205.45 Kgs) (HS Code 3502),20098990,E1,1,7808.180,0.00,0311031473,"FRUIT JUICE - E1, WPC - E1",
Other Confectionary Ingredients - Fruit & Nut Products (HS Code 0802),08029900,E1,1,192.000,0.00,0311031454,,
Other Confectionery ingredients - Fruit & Nuts Products (HS CODE 0802),09083190,E1,1,5744.190,0.00,0311031453,OTHER CONFECTIONERY INGREDIENTS - E1,
Fruit Juice (Qty 2000.33 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 1333.55 Kgs) (HS Code 3502),20098990,E1,1,2000.330,0.00,0311031473,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 663.14 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 422.09 Kgs) (HS Code 3502),20098990,E1,1,633.140,0.00,0311031473,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty: 194316.5 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 129544.33 Kgs) (HS Code 3502),20098990,E1,1,194316.500,0.00,0311031533,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty 60488.19 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 40325 Kgs) (HS Code 3502),20098990,E1,1,60488.190,0.00,0311031514,"FRUIT JUICE - E1, WPC - E1",
"BALL BEARING Qty 2464.,-TAPPER ROLLER BEARING Qty 3360.,-NEEDLE ROLLER BEARING Qty 3360.,-CYLINDER ROLLER BEARING Qty. 1120.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,10304.000,0.00,3011004856,BEARING,
Fruit (HS Code 08062010/2008)Juice (Qty 64247 Kgs) (HS Code 2009) or Milk & Milk Products /  Milk Solids (Qty 42831.34 kgs) (HS Code 3502),20098990,E1,1,64247.000,0.00,0311031513,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty - 66234.39 kgs) (HS Code 2009) or milk & milk products / Milk Solids (Qty 44156.26 kgs) (HS Code 3502),20098990,E1,1,66234.390,0.00,0311031516,"FRUIT JUICE - E1, WPC - E1",
Other Confectionary Ingredients - Fruit & Nuts Products (HS Code 0802),08029900,E1,1,64772.170,0.00,0311031533,,
Fruit (HS Code 0802) Juice (Qty 23258.54 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 15505.69 Kgs) (HS Code 3502),20098990,E1,1,23258.540,0.00,0311031533,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty 7101.32 kgs) (HS Code 2009) or Milk & Milk Products /  Milk Solids (Qty 4734.22 kgs) (HS Code 3502),20098990,E1,1,7101.320,0.00,0311031513,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty 9500.85 Kgs) (HS Code 2009) or Milk & Milk Products /  Milk Solids (Qty 6333.90 Kgs) (HS Code 3502),20098990,E1,1,9500.850,0.00,0311031514,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty - 3625.06 kgs) (HS Code 2009) or milk & milk products /  Milk Solids (Qty 2416.70 kgs) (HS Code 3502),20098990,E1,1,3625.060,0.00,0311031516,"FRUIT JUICE - E1, WPC - E1",
Food colour  :- caramel,17023010,E1,1,20.990,0.00,0311031510,FOOD COLOUR,
Fruit (HS Code 0802) Juice ( Qty 26910.75 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 17940.50 Kgs) (HS Code 3502),20098990,E1,1,26910.750,0.00,0311031533,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008)Juice (Qty 1764 Kgs) (HS Code 2009) or Milk & Milk Products /  Milk Solids (Qty 1176 Kgs) (HS Code 3502),20098990,E1,1,1764.000,0.00,0311031514,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (Qty - 232.13 kgs) (HS Code 2009) or milk & milk products /  Milk Solids (Qty 154.75 kgs) (HS Code 3502),20098990,E1,1,232.130,0.00,0311031516,"FRUIT JUICE - E1, WPC - E1",
Relevant Fats and Oils namely Sesame Oil/Mustard Oil/Gingelly Oil/Salad Oil (HS Code1509) /Palm Oil / Palmolein / Ground-nut Oil/ Sunflower Oil (HS Code 1512),15119020,E126,1,30927.500,115570.96,5211007538,RBD PALMOLEIN OIL,
Food Additive- Asafoetida ( HS Code 1301) Spices & Condiments (HS Code 0908) / Fruits (HS Code 0810) For pickles and chutney FDA approved,09083110,E126,1,10886.480,0.00,5211007538,FOOD ADDITIVES - E126,
Fruit (HS Code 08062010/2008) Juice (HS Code 2009) (Qty 76908.87 Kgs)or milk & milk Products / Milk Solids (Qty 51272.580 Kgs) (HS Code 3502),20098990,E1,1,76908.870,0.00,0311031558,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (HS Code 2009) (Qty.83241.38 Kgs) or Milk & Milk products / Milk Solids (HS Code 3502) (Qty 55494.25 Kgs),20098990,E1,1,83241.380,0.00,0311031556,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 66546.31 Kgs ) HS Code 2009) / Milk & Milk Products / Milk Solids (Qty 44364.20 Kgs) (HS Code 3502),20098990,E1,1,66546.310,0.00,0311031559,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (HS Code 2009) (Qty 80163.39 Kgs) or milk & milk Products / Milk Solids (Qty 53442.26 Kgs) (HS Code 3502),20098990,E1,1,80163.390,0.00,0311031557,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 64505.34 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 43003.562 Kgs) (HS Code 3502),20098990,E1,1,64505.340,0.00,0311031571,"FRUIT JUICE - E1, WPC - E1",
Citric Acid - Monohydrate food grade - 99.5% min,29181400,E1,1,16032.680,0.00,0311031557,CITRIC ACID / TARTARIC ACID - E1,
Essential Oil - (HS Code 3301) Edible Grade (Max percentage of 5% Reflective index of 1% and above but not more than 2%),33011200,E1,1,2672.110,0.00,0311031557,ESSENTIAL OIL,
Fruit Juice (Qty 8130.24 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 5420.16 Kgs) (HS Code 3502),20098990,E1,1,8130.240,0.00,0311031571,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (HS Code 2009) (Qty 6446.25 Kgs)or milk & milk Products / Milk Solids (Qty 4297.500 Kgs) (HS Code 3502),20098990,E1,1,6446.250,0.00,0311031558,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 08062010/2008) Juice (HS Code 2009) (Qty 3993.75 Kgs)or milk & milk Products / Milk Solids (Qty 2662.50 Kgs) (HS Code 3502),20098990,E1,1,3993.750,0.00,0311031557,"FRUIT JUICE - E1, WPC - E1",
Fruit Fruit (HS Code 08062010/2008)Juice (HS Code 2009) (Qty. 1542 Kgs) or Milk & Milk products / Milk Solids (HS Code 3502) (Qty 1028 Kgs),20098990,E1,1,1542.000,0.00,0311031556,"FRUIT JUICE - E1, WPC - E1",
Food Flavours - Natural flavour (Edible grade)s,09083110,E1,1,10.280,0.00,0311031556,FOOD FLAVOUR - E1,
Other Confectionery ingridients: Fruits and nuts Products (HS code 0802),08029900,E1,1,514.000,0.00,0311031556,OTHER CONFECTIONERY INGREDIENTS - E1,
Fruit Juice (Qty 3690.56 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solids (Qty 2460.375 Kgs) (HS Code 3502),20098990,E1,1,3690.560,0.00,0311031571,"FRUIT JUICE - E1, WPC - E1",
"BALL BEARING QTY. 3960., -TAPPER ROLLER BEARING QTY 360., -NEEDLE ROLLER BEARING QTY. 1260. (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,5580.000,0.00,3011004872,BEARING,
"BALL BEARING QTY 2134, -TAPPER ROLLER BEARING QTY 2910, -NEEDLE ROLLER BEARING QTY 2910,-CYLINDER ROLLER BEARING QTY 970-Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,8924.000,0.00,3011004871,BEARING,
"BALL BEARING QTY. 572.,-TAPPER ROLLER BEARING QTY. 748.,-NEEDLE ROLLER BEARING QTY 572,-CYLINDER ROLLER BEARING QTY. 44 (Dia 10 mm-175 mm)-HS 8482) NET TO NET",84821020,C969,1,1936.000,0.00,3011004872,BEARING,
"BALL BEARING QTY. 792, -TAPPER ROLLER BEARING QTY. 1080, -NEEDLE ROLLER BEARING QTY. 1080, -CYLINDER ROLLER BEARING QTY. 360-Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,3312.000,0.00,3011004871,BEARING,
"BALL BEARING QTY. 3872, -TAPPER ROLLER BEARING QTY. 352, -NEEDLE ROLLER BEARING QTY. 1232 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,5456.000,0.00,3011004871,BEARING,
"BALL BEARING QTY. 1875., -TAPPER ROLLER BEARING QTY 2500., -NEEDLE ROLLER BEARING QTY. 375, -CYLINDERICAL ROLLER BEARING QTY. 375-Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,5125.000,0.00,3011004872,BEARING,
"Lentils (HSN 0713), Cereal flakes(HS Code 1104)",07132090,E132,1,54158.980,179388.90,5211007631,CEREALS FLAKES,
Edible Vegetable Oil/Fats / Frying Fat (HSN 0406) / Palm based oil (HS Code 15132110),15119020,E132,1,25274.190,0.00,5211007631,"CHEESE, EDIBLE VEGETABLE OIL - E132, PALM KERNEL OIL, RBD PALMOLEIN OIL",
BALL BEARING Qty 3344.-TAPPER ROLLER BEARING Qty 4560.-NEEDLE ROLLER BEARING Qty 4560.-CYLINDER ROLLER BEARING Qty. 1520. .Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,13984.000,0.00,3011004903,BEARING,
"BALL BEARING QTY 1804, -TAPPER ROLLER BEARING QTY 2460, -NEEDLE ROLLER BEARING QTY 2460, -CYLINDER ROLLER BEARING QTY 820. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,7544.000,0.00,3011004905,BEARING,
"BALL BEARING Qty 2849., -TAPPER ROLLER BEARING Qty 3885., -NEEDLE ROLLER BEARING Qty 3885. -CYLINDER ROLLER BEARING Qty. 1295. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,11914.000,0.00,3011004904,BEARING,
"Cardamom-Large(Amomum) (HS Code 0908), Black Pepper (HS Code 0904)",09083190,E132,1,5415.900,0.00,5211007631,,
"BALL BEARING QTY. 902.-TAPPER ROLLER BEARING QTY. 1230,-NEEDLE ROLLER BEARING QTY. 1230,-CYLINDER ROLLER BEARING QTY. 410. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,3772.000,0.00,3011004905,BEARING,
"BALL BEARING QTY. 2816.,-TAPPER ROLLER BEARING QTY. 256.,-NEEDLE ROLLER BEARING QTY. 896.Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,3968.000,0.00,3011004905,BEARING,
Glass Formers namely:-(a) Silica (other than Fumed Silica)28110000 (b) Borax 28401900 (c) Phosphoric Acid 28092010 (d) Arsenic Trioxide 28112920 (e) Former Rutile grade 32061190 / 32061110,32061110,A3627,1,930000.000,3042688.10,0311032338,RUTILE,
Intermediates namely:-(a) Aluminium Oxide 28182000 (b) Zinc Oxide 28170010 (c) Zirconium Oxide 28256010,28182090,A3627,1,30000.000,0.00,0311032338,"ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
Modifiers namely:- (a) Magnesium Oxide 25199040 (b) Soda Ash 28362010 (c) Sodium Nitrate 28342990 (d) Potash 28152000 (e) Potassium Nitrate 28342100,25199040,A3627,1,360000.000,0.00,0311032338,"SODA ASH, SODIUM NITRATE",
Vegetable Shortening / Cream (HS Code 04015000) / Fats / Spray Fats / Edible Vegetable Oil (HS Code 15000000),15132110,E5,1,91976.900,0.00,0311032349,"PALM KERNEL OIL, RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
Milk & Milk Products / Milk Solids (HS Code 0404),04041020,E5,1,35768.790,0.00,0311032349,SWP,
Food Flavour - Fruit and Fruit Products,20091100,E5,1,6116.160,0.00,0311032497,"FOOD FLAVOUR - E5, JUICE - E5",
"-BALL BEARING QTY 2089,-TAPPER ROLLER BEARING QTY 2985,-NEEDLE ROLLER BEARING QTY 2985,-CYLINDER ROLLER BEARING QTY 995 (Dia 10mm-175mm hsn 8482 NET TO NET)",84821020,C969,1,9154.000,0.00,3011005035,BEARING,
"BALL BEARING QTY. 1232.,-TAPPER ROLLER BEARING QTY. 1680,-NEEDLE ROLLER BEARING QTY. 1680 , -CYLINDER ROLLER BEARING QTY. 560( Dia 10mm-175mm hsn 8482 NET TO NET)",84821020,C969,1,5152.000,0.00,3011005035,BEARING,
"BALL BEARING QTY. 4378.,-TAPPER ROLLER BEARING QTY. 398.,-NEEDLE ROLLER BEARING QTY. 1393.( Dia 10mm-175mm hsn 8482 NET TO NET)",84821020,C969,1,6169.000,0.00,3011005035,BEARING,
"BALL BEARING QTY. 6336.,-TAPPER ROLLER BEARING QTY. 576.,-NEEDLE ROLLER BEARING QTY. 2016.,Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,8928.000,0.00,3011005036,BEARING,
Food Flavour: Fruit & Nut Flavour (HS Code 0908 / 2009),20091100,E5,1,8498.900,0.00,0311032940,"FOOD FLAVOUR - E5, JUICE - E5",
Fruit/ Cocoa Powder - Fruit,08051000,E5,1,4780.630,0.00,0311032940,FRUIT/COCOA - E5,
FOOD COLOURS - SUNSET YELLOW,32041981,E1,1,7.240,0.00,0311032977,FOOD COLOUR,
FOOD COLOURS - SUNSET YELLOW,09083110,E1,1,72.400,0.00,0311032977,FOOD COLOUR,
EMULSIFIER / STABILIZER / GLAZING AGENT /  BINDERS / THICKNERS (ITEM AS PER PFA ACT 1955) - XANTHIUM GUM,13023990,E1,1,72.400,0.00,0311032977,EMULSIFIER - E1,
SUNSET YELLLOW,32041981,E1,1,34.340,0.00,0311032993,,
EMULSIFIER/STABILIZER/GLAZING AGENT/BINDERS/THICKENERS -  XANTHIUM GUM,13023990,E1,1,343.390,0.00,0311032993,EMULSIFIER - E1,
Fruit Juice (Qty 179356.37 Kgs) (HS Code 2009) or milk & milk products / milk solids (Qty  119570.91 Kgs) ( HS Code 3502),20098990,E1,1,179356.370,0.00,0311033007,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 74792.15 Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty 49861.43 Kgs)(HS Code 3502),20098990,E1,1,74792.150,0.00,0311033006,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 19262.88 Kgs) (HS Code 2009) or milk & milk products / milk solids (Qty 12841.92 Kgs) ( HS Code 3502),20098990,E1,1,19262.880,0.00,0311033007,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 35845.13 Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty 23896.75 Kgs)(HS Code 3502),20098990,E1,1,35845.130,0.00,0311033006,"FRUIT JUICE - E1, WPC - E1",
Other Confectionery ingredients Other Confectionery ingredients - Fruit & Nut Products (HS Code 0802),08029900,E1,1,6420.960,0.00,0311033007,OTHER CONFECTIONERY INGREDIENTS - E1,
Fruit Juice (Qty 6073.61 Kgs) (HS Code 2009) or milk & milk products / milk solids (Qty 4049.07 Kgs) ( HS Code 3502),20098990,E1,1,6073.610,0.00,0311033007,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 13331.25Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty 8887.50 Kgs)(HS Code 3502),20098990,E1,1,13331.250,0.00,0311033006,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 3217.05 Kgs) (HS Code 2009) or Milk & Milk products / Milk solids (Qty 2144.70 Kgs) ( HS Code 3502),20098990,E1,1,3217.050,0.00,0311033007,"FRUIT JUICE - E1, WPC - E1",
Fruit Juice (Qty 189.39 Kgs) (HS Code 2009) or milk and milk products / Milk solids (Qty 126.25  Kgs)(HS Code 3502),20098990,E1,1,189.390,0.00,0311033006,"FRUIT JUICE - E1, WPC - E1",
EDIBLE STARCHES (HSN 1108),11081000,E1,1,240.350,0.00,0311033121,STARCH 1108,
EDIBLE STARCHES (HSN 1108),39139090,E1,1,19.270,0.00,0311033121,"STARCH 1108, STARCH 3505",
Fruit (HS Code 0802) Juice (Qty 135618.23 Kgs) (HS Code 2009) or Milk and Milk products / Milk Solids (Qty 90412.16 Kgs) (HS Code 3502),20098990,E1,1,135618.200,0.00,0311033192,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 92983.12 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solds (Qty - 61988.75 Kgs) (HS Code 3502),20098990,E1,1,92983.120,0.00,0311033193,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802 Juice (Qty 111228.31 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 74152.21 Kgs) (HS Code 3502),20098990,E1,1,111228.310,0.00,0311033194,"FRUIT JUICE - E1, WPC - E1",
e index of 1Essential Oil (HS Code 3301) Edible Grade (Max percentage of 5% Reflectiv% and above but not more than 2%),33011200,E1,1,3099.440,0.00,0311033193,ESSENTIAL OIL,
"Paper & Paper Board , PP, Aluminum Foil ( HS Code 7607)",39021000,E1,1,47029.110,0.00,0311033193,"ALUMINIUM FOIL, PAPER BOARD, PP",
Fruit (HS Code 0802) Juice (Qty 10166.28 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solds (Qty -6777.52 Kgs) (HS Code 3502),20098990,E1,1,10166.280,0.00,0311033193,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 7982.38 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 5321.59 Kgs) (HS Code 3502),20098990,E1,1,7982.380,0.00,0311033194,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 1191.38 Kgs) (HS Code 2009) or Milk and Milk products / Milk Solids (Qty 794.25 Kgs) (HS Code 3502),20098990,E1,1,1191.380,0.00,0311033192,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 14509.2 Kgs) (HS Code 2009) or Milk & Milk Products / Milk Solds (Qty - 9672.80 Kgs) (HS Code 3502),20098990,E1,1,14509.200,0.00,0311033193,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 983.66 Kgs) (HS Code 2009) or Milk and Milk products / Milk Solids (Qty 655.78 Kgs) (HS Code 3502,20098990,E1,1,983.660,0.00,0311033192,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 4066.88 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 2711.25 Kgs) (HS Code 3502),20098990,E1,1,4066.880,0.00,0311033194,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 945 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 630 Kgs) (HS Code 3502),20098990,E1,1,945.000,0.00,0311033194,"FRUIT JUICE - E1, WPC - E1",
"Fruit Juice (Qty 8668.99 Kgs) (HS Code 2009) or Milk and Milk products / Milk Solids (Qty 5779.33 Kgs) (HS Code 3502,)",20098990,E1,1,8668.990,0.00,0311033192,"FRUIT JUICE - E1, WPC - E1",
Fruit (HS Code 0802) Juice (Qty 198.72 Kgs) (HS Code 2009) or Milk & Milk Products/ Milk Solids (Qty 132.48 Kgs) (HS Code 3502),20098990,E1,1,198.720,0.00,0311033194,"FRUIT JUICE - E1, WPC - E1",
"Packing Material :- (A) HDPE/LDPE/PP (1,06,940.49) (B) Wooden Sheet / Pallets 3350 (84,587.50)  (HSN Code 44151000)",39021000,A3627,1,191527.990,0.00,5211007923,"HDPE, LDPE, PP",
"Edible Vegetable Oils such as Mustard Oil,RBD Palmolein Oil,Sunflower Oil,Palm Oil, Ground nut Oil,Palm Kernel Oil ( HS Code 1513)",15119020,E132,1,131080.990,0.00,0311033246,"EDIBLE VEGETABLE OIL - E132, PALM KERNEL OIL, RBD PALMOLEIN OIL",
"Relevant Food Additives as Approved by FSSAI-Tocopherol, Lecithin, Butylated Hydroxynanisole (BHA), Tertiary Butyl Hydroqunone (TBHQ), Methyl Cellolose, Carboxy Methyl Cellulose, Gellan Gun.",39129090,E132,1,4681.460,0.00,0311033246,"FOOD ADDITIVES TBHQ - E132, RELEVANT ADDITIVES DESCRIPTION",
BALL BEARING Qty 2464.-TAPPER ROLLER BEARING Qty 3360.-NEEDLE ROLLER BEARING Qty 3360.-CYLINDER ROLLER BEARING Qty. 1120. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,10304.000,0.00,3011005105,BEARING,
"BALL BEARING QTY 3047,-TAPPER ROLLER BEARING QTY 4155,-NEEDLE ROLLER BEARING QTY 4155,-CYLINDER ROLLER BEARING QTY 1385. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,12742.000,0.00,3011005103,BEARING,
"BALL BEARING QTY. 935., -TAPPER ROLLER BEARING QTY. 1275,-NEEDLE ROLLER BEARING QTY. 1275, -CYLINDER ROLLER BEARING QTY. 425 Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,3910.000,0.00,3011005103,BEARING,
"BALL BEARING QTY. 242,-TAPPER ROLLER BEARING QTY. 330, -NEEDLE ROLLER BEARING QTY. 330,-CYLINDER ROLLER BEARING QTY. 110. Dia 10mm-175mm hsn 8482 NET TO NET",84821020,C969,1,1012.000,0.00,3011005104,BEARING,
"BALL BEARING QTY. 616,-TAPPER ROLLER BEARING QTY. 56,-NEEDLE ROLLER BEARING QTY. 196. Dia 10mm-175mm hsn 8482 NET TO NET.",84821020,C969,1,868.000,0.00,3011005104,BEARING,
BALL BEARING QTY. 2332.-TAPPER ROLLER BEARING QTY. 212.-NEEDLE ROLLER BEARING QTY. 742. Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,3286.000,0.00,3011005103,BEARING,
Anti Oxidant (Citric Acid Monohydrate Food Grade 99.5% min,29181400,E5,1,68.130,0.00,0311033433,ANTI OXIDANT,
"Packing Material :-PP (Qty 142100.49 Kgs) 1. 48070030 / BB-Board 2/S Glazed / 900gsm in sheet form, 2. 48115900 / PP Laminated board / 380 gsm & 580 gsm in Roll form, 3. 48041100 / Kraft Liner / 135gsm to 160gsm / Wooden Pallets (4126*25) 104181.50",39021000,A3627,1,246281.990,0.00,5211008062,PP,
BALL BEARING Qty 2376. -TAPPER ROLLER BEARING Qty 3240. -NEEDLE ROLLER BEARING Qty 3240. -CYLINDER ROLLER BEARING Qty. 1080..Dia 10mm-175mm hsn 8482 NET TO NET,84821020,C969,1,9936.000,0.00,3011005158,BEARING,
Vegetable Shortening /Cream /Fat Powder (HS Code - 21069099) / Spray Fats - Edible Vegetable Oil (HS Code 1509),21069099,E5,1,37367.370,0.00,0311033734,"RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
